Time:                    RO:
0.012                        3.700332044185942E12
0.013000000000000001                        3.9406169971469556E12
0.014                        4.346716033911351E12
0.0                        4.425665495023801E12
0.001                        4.460760715599041E12
0.002                        4.5578446667661045E12
0.003                        4.769009973930354E12
0.004                        4.855308170967629E12
0.0                        4.869934716136231E12
0.001                        4.941569576929595E12
0.002                        4.94515136527982E12
0.003                        4.97045390899875E12
0.004                        5.357817881132282E12
0.0                        5.436618024157793E12
0.001                        5.487077483646565E12
0.002                        5.708838250835417E12
0.003                        5.882081501008641E12
0.004                        6.028839702105295E12
0.0                        6.094536645264361E12
0.0                        6.166596349956729E12
0.0                        6.169768451446336E12
0.0                        6.243428449352877E12
0.0                        6.268145865917738E12
0.0                        6.331789807465206E12
0.0                        6.332687249695998E12
0.0                        6.38277561823617E12
0.0                        6.398711641144748E12
0.0                        6.477048388382331E12
0.0                        6.521050799760802E12
0.0                        6.527544289328718E12
0.0                        6.574391017170737E12
0.0                        6.593975210453331E12
0.0                        6.609074806301472E12
0.0                        6.692276127533957E12
0.0                        6.693636825989692E12
0.0                        6.746847843096758E12
0.0                        6.808955535392346E12
0.0                        6.814879518040498E12
0.0                        6.873364769281902E12
0.0                        6.959284765977615E12
0.0                        6.987089341542544E12
0.0                        6.987733223566799E12
0.0                        7.049091874953315E12
0.0                        7.08581852529265E12
0.0                        7.126626405231527E12
0.0                        7.15789986120543E12
0.0                        7.165775620837698E12
0.0                        7.222421433776211E12
0.0                        7.210776129141947E12
0.0                        7.164743306537802E12
0.0                        7.016817890847515E12
0.0                        7.315478306063615E10
0.001                        8.119985265688704E10
0.002                        1.5397209211363678E11
0.003                        4.8272981160744806E11
0.004                        6.61440153106562E11
0.005                        1.0820535125968861E12
0.006                        1.149837395397954E12
0.007                        1.7373526186874307E12
0.008                        1.9681842678607888E12
0.009000000000000001                        2.1662623360338286E12
0.01                        2.832986216808417E12
0.011                        3.7851521195485474E12
0.012                        4.594802270570255E12
0.013000000000000001                        5.2487357708462705E12
0.014                        6.000773038650014E12
0.0                        6.075050894766446E12
0.001                        6.119974925157446E12
0.0                        6.1306500344072705E12
0.001                        6.201211091078796E12
0.0                        6.266241782433522E12
0.001                        6.421009831613827E12
0.0                        6.445914263013237E12
0.001                        6.506417648996879E12
0.0                        6.586793547549171E12
0.001                        6.688983397736701E12
0.0                        6.744288345658131E12
0.001                        6.790484749028223E12
0.0                        6.852972238487019E12
0.001                        6.931266582084472E12
0.0                        6.969539105810486E12
0.0                        6.982859339410091E12
